gene,p_value,fold_change
200911_s_at,5.43158509036127e-07,-1.0190676228422566
204389_at,5.480408022475692e-07,-1.018767362992059
213221_s_at,5.629004652500514e-07,-1.017868832121974
213518_at,5.746968378912419e-07,1.0171713762331187
37892_at,5.850326762075278e-07,1.0165713220951074
218711_s_at,6.005043889639574e-07,-1.015691591976082
209008_x_at,6.236798462725746e-07,1.0144131502340907
219937_at,6.406001691495072e-07,-1.013507848117683
209138_x_at,6.467744280236631e-07,1.0131831270320495
221024_s_at,6.538662486480611e-07,1.0128137483993573
201465_s_at,6.549975257071596e-07,-1.012755176468573
213001_at,6.62374504195419e-07,-1.012375563643588
202157_s_at,6.745769045168429e-07,-1.0117563322566046
212875_s_at,6.919588176160774e-07,-1.0108923128396567
205932_s_at,7.021359357308111e-07,-1.0103959108452716
201963_at,7.198174160949675e-07,-1.009549438945355
39248_at,7.468675947728527e-07,1.008291771862172
205005_s_at,7.565328761437893e-07,-1.0078528223591818
202760_s_at,7.626512617311229e-07,-1.007577688559595
203693_s_at,7.678042105182527e-07,1.0073475834452443
209539_at,7.691288325706559e-07,-1.007288668379526
202088_at,7.69271528165749e-07,1.007282327449862
200696_s_at,8.178712262855244e-07,-1.005184882100151
208737_at,9.199032777415929e-07,1.001140076145334
221031_s_at,9.199511064205556e-07,-1.001138281597227
207057_at,9.549193640419818e-07,-0.9998492964548191
202724_s_at,9.55665933179176e-07,-0.9998222660904059
203124_s_at,9.730419296847673e-07,0.9991987216959037
202973_x_at,1.0084493147751344e-06,-0.9979600345670214
205559_s_at,1.0343204524576878e-06,-0.9970806832453364
201363_s_at,1.0693592475413313e-06,0.9959222944766578
209185_s_at,1.0904306532581048e-06,-0.995242820108149
220065_at,1.0910339583866207e-06,-0.9952235490010033
209355_s_at,1.0947437999460052e-06,-0.9951052680177739
201036_s_at,1.096017427492115e-06,-0.9950647482219328
212013_at,1.1156291034428345e-06,-0.9944463661180472
201324_at,1.121267310121604e-06,-0.9942704863375617
203516_at,1.143498065994123e-06,-0.9935850593760434
219454_at,1.1513190350288824e-06,-0.9933469106954314
219117_s_at,1.1518907818182277e-06,0.9933295609880286
204154_at,1.161694858033053e-06,-0.9930333143055186
203002_at,1.3258034326269338e-06,-0.9883964412806208
204642_at,1.3535628700021068e-06,-0.9876662010858954
218189_s_at,1.3558583982947927e-06,0.9876064495077579
205200_at,1.3569925935141418e-06,-0.9875769621588357
202963_at,1.388263426192446e-06,0.9867730000176933
218032_at,1.4626061365384339e-06,-0.9849282832478357
209540_at,1.4918510431162646e-06,-0.984226776674183
212219_at,1.512358728782363e-06,0.983742553643848
217714_x_at,1.5141004725127758e-06,0.9837017139836851
211981_at,1.5205800624451205e-06,-0.9835501716706248
207302_at,1.5253637926754618e-06,-0.9834386821147423
202014_at,1.5273066788027603e-06,-0.9833934954456783
207160_at,1.5772584196904449e-06,-0.9822499897806414
204059_s_at,1.5925753995762772e-06,-0.981906193041819
202112_at,1.6007552714902271e-06,-0.9817238681664983
201843_s_at,1.6277686422834658e-06,-0.9811279392747675
213150_at,1.666706468117062e-06,-0.9802851692363637
217781_s_at,1.6932542795251354e-06,-0.9797211552925384
206742_at,1.7337571158221325e-06,-0.9788765382918441
204276_at,1.7669329936527368e-06,-0.9781984691116347
201425_at,1.780960053639558e-06,-0.9779153817621745
211946_s_at,1.7815176778893963e-06,0.977904171583319
218656_s_at,1.8670649531045757e-06,-0.9762224065031149
221841_s_at,1.870318133875489e-06,-0.9761598974515173
204677_at,1.8929883008331768e-06,-0.9757271221338109
218123_at,1.910788191733673e-06,0.9753907334074738
209605_at,1.9642456243196534e-06,-0.9743979560317415
202796_at,2.0045564947509406e-06,-0.9736660407153721
221885_at,2.035017280427789e-06,-0.9731221214672802
201202_at,2.0456008779378066e-06,0.9729349327594714
205619_s_at,2.0576448888521742e-06,-0.9727230220046279
204421_s_at,2.20201428952688e-06,-0.9702700757655194
219534_x_at,2.2541776244444294e-06,-0.9694209449216964
210751_s_at,2.262306119984941e-06,-0.9692902979703346
209049_s_at,2.3468174730156988e-06,0.9679575875732693
201479_at,2.4874876643234044e-06,0.9658364730227543
213675_at,2.501598204363401e-06,-0.9656299850567511
205339_at,2.510072308044845e-06,0.9655065053423693
202935_s_at,2.5496168533397654e-06,0.9649354300390233
219288_at,2.5547093173910693e-06,0.9648624957015222
209803_s_at,2.6411363424005012e-06,0.9636451400212704
216868_s_at,2.6586773988687572e-06,-0.963402657328881
219209_at,2.685747360422308e-06,0.9630313918810847
202003_s_at,2.7106099569491034e-06,-0.9626934937469369
202723_s_at,2.713088521209694e-06,-0.9626599687479248
203769_s_at,2.8866851745855937e-06,-0.9603808573417644
215306_at,2.8933425342983252e-06,-0.9602960492807306
220736_at,2.9143989849226854e-06,-0.960029016217233
217771_at,3.0116637666166903e-06,0.9588186434457757
201340_s_at,3.0694743648437555e-06,0.9581165726671715
220948_s_at,3.122056545086628e-06,0.9574887294120147
212036_s_at,3.2242834973461954e-06,0.9562961078883476
204039_at,3.237189079052526e-06,-0.9561480851840504
215241_at,3.2674410507115423e-06,-0.9558032715235889
206363_at,3.2975017366326935e-06,-0.9554636029589425
201689_s_at,3.3025321129639326e-06,0.9554070475291101
214297_at,3.330271458082284e-06,-0.9550966294397609
218934_s_at,3.346499275248576e-06,-0.9549161582766498
206496_at,3.6499579721899444e-06,-0.9516848860788002
202800_at,3.6579387132424148e-06,-0.9516033661515659
202283_at,3.6915313287218236e-06,-0.9512620568199122
213808_at,3.698363511666168e-06,-0.9511929980249704
201761_at,3.7472055329776777e-06,0.9507027782862709
202345_s_at,3.780217371799296e-06,-0.9503748380442086
218574_s_at,3.901529942448224e-06,-0.9491924319779883
215946_x_at,3.904853159019576e-06,0.9491605306552906
204955_at,3.9056429039252e-06,-0.9491529532312707
213913_s_at,3.912323019577275e-06,0.9490889166460776
209656_s_at,3.926258123572196e-06,-0.9489556631857163
206069_s_at,4.0406910917807764e-06,-0.947877937830899
200770_s_at,4.067212399183838e-06,-0.9476322637385006
201012_at,4.08948508093865e-06,-0.9474271074860646
212551_at,4.172802399403967e-06,-0.9466688714513493
212119_at,4.24546856529673e-06,-0.946019106944848
210145_at,4.4677210430775355e-06,-0.9440947799834705
220975_s_at,4.4741807683478874e-06,-0.9440402072542727
207076_s_at,4.5330912961686125e-06,-0.9435459139092324
212533_at,4.631172147707766e-06,0.9427362074315564
208581_x_at,4.8448274821134034e-06,-0.941026794288537
213515_x_at,5.082047367944684e-06,-0.9392099812487371
213010_at,5.2218851226322465e-06,-0.9381760046884425
209357_at,5.237307944051056e-06,-0.9380635648925087
212915_at,5.242740495714555e-06,-0.9380240330926921
208051_s_at,5.2496768265874516e-06,0.93797361446801
209360_s_at,5.272196234270781e-06,0.9378103565664551
222116_s_at,5.280172887257541e-06,-0.9377526857788792
200670_at,5.307679822711684e-06,0.9375544382668799
213800_at,5.453544236143021e-06,-0.9365190389634437
207761_s_at,5.598920968188415e-06,-0.9355126834356591
216336_x_at,5.619494979412632e-06,-0.9353722501376889
221479_s_at,5.661410396533073e-06,-0.9350876342743369
203799_at,5.675348691177317e-06,-0.9349934284992683
208790_s_at,5.706146557574227e-06,-0.9347860413209872
219576_at,6.046905247650247e-06,-0.9325591026828057
208794_s_at,6.122905183593929e-06,0.9320785405070472
53991_at,6.4944324991350555e-06,-0.9298070963653975
215768_at,6.768544330224877e-06,-0.9282081905181357
