symbol,gene,p_value,log2FC,p_adj,significant
AC104537.2 /// TCEB1P28,217327_at,0.2465113536030227,-0.167793666233937,0.5287844139715205,False
AC128677.4 /// CH17-132F21.1 /// IGKV1OR-1 /// IGKV1OR-1 /// IGKV1OR10-1 /// IGKV1OR10-1 /// IGKV1OR2-2,217480_x_at,0.22403931266487395,0.22601807328798174,0.5047283393096135,False
ACAA1,214274_s_at,0.39218112283688356,-0.12207768094567939,0.6566366235457651,False
ACAA2,202003_s_at,2.714706332550195e-06,-1.27087895550258,0.00016174278397918716,True
ACACA,214358_at,0.3162996330486152,0.17837310852216515,0.5956651624334947,False
ACACB,43427_at,4.1565137902566456e-14,-3.0077589851786835,6.615685484877773e-11,True
ACAD10,219986_s_at,0.4364817812351546,-0.12978059643831497,0.6925046175628695,False
ACAD8,221669_s_at,0.4208205685343095,-0.19360140123984415,0.6790603757440813,False
ACADL,206068_s_at,3.481099851581258e-09,-1.5390983012390436,5.92132427425841e-07,True
ACADM,202502_at,0.40330023368834034,-0.15673601894697775,0.6646996381122254,False
ACADS,202366_at,0.013538108139130834,-0.4691745286716955,0.10930060277690304,False
ACADSB,205355_at,0.16048296251184968,0.2762800033882842,0.4283739122393655,False
ACADVL,200710_at,0.03713439107577443,-0.4017947041290917,0.19710948936195372,False
ACAN,205679_x_at,0.011697281055430607,-0.39137024423635935,0.10005777879391947,False
ACAP1,205213_at,0.16095392412747236,-0.262642993382336,0.42886952000422757,False
ACAP2,212477_at,0.23681340944893775,-0.22148573337079824,0.5188705214110796,False
ACAT1,205412_at,0.0002903957362075473,-0.8669583796373121,0.007639773541809653,True
ACAT2,209608_s_at,0.8349151789217766,0.03347319494116796,0.9276272656683134,False
ACBD3,202324_s_at,0.23150050543972048,0.14652051777607866,0.5135036457839532,False
ACBD4,219413_at,0.6704137154602241,-0.0527832591313695,0.8428947929827784,False
ACD,204617_s_at,0.1321745418897161,-0.16719617811674858,0.3897373715665667,False
ACE,209749_s_at,0.6542407322412296,-0.07740786378347231,0.8342356700130967,False
ACE2,222257_s_at,0.3350909270867066,-0.1633963664590823,0.6115692692556901,False
ACHE,205378_s_at,0.0017610510803815664,-0.5173930972292151,0.028601677277071753,True
ACIN1,201715_s_at,0.19044839446525258,-0.2385518000456308,0.46431422132166744,False
ACKR1,208335_s_at,0.06302226365135837,-0.34714561203405303,0.260833042522886,False
ACKR2,206887_at,0.7070921436771218,-0.04660936014261985,0.862249499909784,False
